Amostras:
;669;600
;664;600
;598;600
;420;600
;319;600
;319;600
;319;600
;657;600
;664;600
;664;600
;596;600
;446;600
;371;600
;312;600
;418;600
;570;600
;660;600
;632;600
;632;600
;632;600
;298;600
;359;600
;359;600
;359;600
;494;600
;662;600
;677;600
;622;600
;500;600
;412;600
;328;600
;328;600
;642;600
;652;600
;570;600
;570;600
;570;600
;308;600
;335;600
;421;600
;584;600
;643;600
;622;600
;416;600
;416;600
;416;600
;349;600
;349;600
;608;600
;608;600
;503;600
;503;600
;420;600
;329;600
;375;600
;375;600
;467;600
;649;600
;649;600
;396;600
;331;600
;331;600
;331;600
;630;600
;661;600
;661;600
;626;600
;519;600
;417;600
;417;600
;328;600
;449;600
;449;600
;673;600
;643;600
;643;600
;591;600
;426;600
;330;600
;418;600
;606;600
;668;600
;651;600
;581;600
;446;600
;309;600
;429;600
;429;600
;429;600
;662;600
;670;600
;670;600
;597;600
;435;600
